MH46 © Martin Hepperle
1.000000	0.000000
0.996710	-0.000290
0.986660	-0.000980
0.969760	-0.001560
0.946350	-0.001640
0.916780	-0.000990
0.881450	0.000630
0.840820	0.003600
0.795750	0.008430
0.747570	0.015240
0.697450	0.023650
0.646410	0.033210
0.595460	0.043370
0.545560	0.053170
0.496890	0.061340
0.448950	0.067410
0.401640	0.071630
0.355310	0.074150
0.310300	0.075100
0.267050	0.074570
0.225930	0.072660
0.187370	0.069450
0.151700	0.065010
0.119260	0.059460
0.090330	0.052880
0.065130	0.045420
0.043860	0.037240
0.026630	0.028560
0.013560	0.019630
0.004640	0.010800
0.000000	0.002680
0.000660	-0.004020
0.007170	-0.009980
0.018990	-0.015940
0.035740	-0.021560
0.057190	-0.026690
0.083040	-0.031110
0.113110	-0.034590
0.147320	-0.037030
0.185440	-0.038490
0.227160	-0.039030
0.272110	-0.038780
0.319800	-0.037810
0.369740	-0.036240
0.421390	-0.034170
0.474190	-0.031730
0.527510	-0.029040
0.580700	-0.026200
0.633130	-0.023320
0.684160	-0.020450
0.733140	-0.017660
0.779480	-0.014970
0.822620	-0.012410
0.862050	-0.010040
0.897270	-0.007900
0.927820	-0.005990
0.953310	-0.004320
0.973410	-0.002840
0.987930	-0.001480
0.996890	-0.000410
1.000000	0.000000
Thickness: 11.4% 
Comparatively high maximum lift coefficient. 
Can be used at Reynoldsnumbers of 100'000 and above. 
