MH92 © Martin Hepperle	
1.000000	0.000000
0.996340	0.000010
0.985450	0.000280
0.967620	0.001220
0.943300	0.003140
0.913110	0.006260
0.877710	0.010660
0.837830	0.016280
0.794230	0.023000
0.747660	0.030610
0.698830	0.038830
0.648420	0.047350
0.597050	0.055870
0.545340	0.064050
0.493830	0.071620
0.443020	0.078290
0.393420	0.083850
0.345450	0.088080
0.299550	0.090840
0.256100	0.092000
0.215490	0.091430
0.178000	0.088990
0.143770	0.084680
0.112970	0.078540
0.085700	0.070660
0.061910	0.061320
0.041800	0.050930
0.025570	0.039730
0.013170	0.027980
0.004630	0.016280
0.000150	0.005220
0.000000	-0.004340
0.005730	-0.012340
0.017860	-0.019870
0.035280	-0.027370
0.057560	-0.034600
0.084340	-0.041420
0.115270	-0.047610
0.150010	-0.053020
0.188260	-0.057530
0.229620	-0.061050
0.273720	-0.063430
0.320250	-0.064670
0.368770	-0.064900
0.418710	-0.064150
0.469540	-0.062400
0.520830	-0.059700
0.572050	-0.056230
0.622540	-0.052050
0.671740	-0.047180
0.719240	-0.041600
0.764690	-0.035470
0.807700	-0.029060
0.847810	-0.022660
0.884510	-0.016620
0.917280	-0.011220
0.945510	-0.006730
0.968560	-0.003410
0.985730	-0.001300
0.996380	-0.000280
1.000000	0.000000
Thickness: 15.5% 
Max. camber: 1.63% 
Moment coefficient of cm c/4 close to zero. 
The openings in a parasail should be located close to the region of high pressure around the stagnation point. This point moves in the first 5 % of the chord length when the angle of attack covers a range from 5° to 15°. Any further angle of attack increase makes the stagnation point move faster towards the center of the airfoil.
The airfoils MH 91 and MH 93 show nearly the same variation. At zero lift, the stagnation point moves to the leading edge.
