MH78 © Martin Hepperle	
1.000000	0.000000
0.996470	-0.000060
0.985940	-0.000070
0.968580	0.000290
0.944680	0.001310
0.914700	0.003210
0.879170	0.006170
0.838750	0.010290
0.794140	0.015600
0.746110	0.022040
0.695470	0.029500
0.643000	0.037790
0.589500	0.046630
0.535760	0.055740
0.482440	0.064760
0.430220	0.073360
0.379690	0.081170
0.331350	0.087860
0.285640	0.093110
0.242940	0.096640
0.203580	0.098230
0.167820	0.097600
0.135680	0.094480
0.107010	0.088920
0.081770	0.081070
0.059810	0.071220
0.041070	0.059900
0.025740	0.047620
0.013990	0.034710
0.005800	0.021570
0.001090	0.008830
0.000000	-0.002680
0.003320	-0.011530
0.012630	-0.018250
0.028210	-0.024410
0.049150	-0.030060
0.075010	-0.035080
0.105410	-0.039360
0.140090	-0.042710
0.178850	-0.045140
0.221310	-0.046810
0.266960	-0.047800
0.315260	-0.048170
0.365640	-0.047960
0.417510	-0.047200
0.470270	-0.045930
0.523290	-0.044180
0.575990	-0.041990
0.627730	-0.039370
0.677910	-0.036350
0.725960	-0.032930
0.771330	-0.029060
0.813660	-0.024640
0.852770	-0.019820
0.888370	-0.014900
0.920080	-0.010260
0.947360	-0.006280
0.969640	-0.003230
0.986230	-0.001250
0.996510	-0.000260
1.000000	0.000000
Thickness: 14.4% 
Max. camber: 2.6% 
Low moment coefficient of cm c/4. 
Smooth stall behaviour. 
Has been designed for conventional construction, if the surface is very smooth and flight Reynolds numbers are below 400'000, a turbulator should be placed at 12.5% chord. The cl/cd polars show the influence of a separation bubble when the surface is too smooth. 
