MH44 © Martin Hepperle	
1.000000	0.000000
0.996530	0.000060
0.986290	0.000440
0.969700	0.001470
0.947190	0.003300
0.919230	0.006020
0.886340	0.009690
0.849140	0.014280
0.808340	0.019730
0.764790	0.025750
0.719020	0.031790
0.671270	0.037550
0.621960	0.043010
0.571680	0.048080
0.520970	0.052570
0.470300	0.056380
0.420230	0.059420
0.371280	0.061550
0.323920	0.062670
0.278560	0.062710
0.235610	0.061590
0.195400	0.059340
0.158270	0.055990
0.124540	0.051600
0.094480	0.046240
0.068300	0.040000
0.046170	0.033030
0.028200	0.025520
0.014490	0.017730
0.005050	0.009990
0.000000	0.002820
0.000220	-0.002940
0.006350	-0.007950
0.018000	-0.013110
0.034640	-0.018110
0.055990	-0.022750
0.081790	-0.026800
0.111830	-0.030030
0.146020	-0.032320
0.184110	-0.033700
0.225850	-0.034240
0.270850	-0.034060
0.318620	-0.033280
0.368630	-0.031970
0.420350	-0.030250
0.473210	-0.028200
0.526570	-0.025930
0.579820	-0.023560
0.632290	-0.021140
0.683350	-0.018750
0.732350	-0.016410
0.778720	-0.014180
0.821870	-0.012040
0.861290	-0.010040
0.896500	-0.008150
0.927060	-0.006420
0.952590	-0.004800
0.972770	-0.003290
0.987430	-0.001770
0.996700	-0.000490
1.000000	0.000000
Thickness: 9.66% 
Comparatively high maximum lift coefficient. 
Low moment coefficient Cm c/4. 
Can be used at Reynoldsnumbers of 100'000 and above. 
Has been used successfully in F3B tailless model airplanes. 
Similar to MH 60, which might be better suited for Reynoldsnumbers above 100'000. 
