MH27 ©Martin Hepperle	
1.000000	0.000000
0.995640	0.000440
0.983740	0.002980
0.966140	0.007900
0.943860	0.014510
0.917570	0.022230
0.887770	0.030460
0.854890	0.038590
0.818950	0.045820
0.779680	0.052050
0.737300	0.057530
0.692340	0.062320
0.645260	0.066350
0.596600	0.069640
0.546880	0.072120
0.496660	0.073770
0.446470	0.074550
0.396830	0.074440
0.348300	0.073410
0.301350	0.071460
0.256490	0.068590
0.214160	0.064840
0.174790	0.060210
0.138720	0.054740
0.106310	0.048540
0.077820	0.041680
0.053500	0.034290
0.033520	0.026530
0.018020	0.018620
0.007070	0.010840
0.000780	0.003620
0.000000	-0.002040
0.005490	-0.006990
0.016790	-0.012380
0.033260	-0.017630
0.054770	-0.022530
0.081140	-0.027000
0.112130	-0.030990
0.147420	-0.034560
0.186580	-0.037670
0.229160	-0.040300
0.274650	-0.042410
0.322580	-0.043940
0.372460	-0.044900
0.423760	-0.045310
0.475860	-0.045210
0.528180	-0.044590
0.580130	-0.043490
0.631080	-0.041890
0.680470	-0.039800
0.727720	-0.037180
0.772310	-0.034050
0.813680	-0.030290
0.851670	-0.025650
0.886360	-0.020490
0.917190	-0.015270
0.943890	-0.009970
0.966440	-0.005190
0.984200	-0.001790
0.995870	-0.000210
1.000000	0.000000
Thickness: 11.99%. 
Moment coefficient cm c/4 = -0.0329. 
Can be used at Reynoldsnumbers of 500'000 and above. 
Well suited for a flap of 15% chord length. 
Can also be used for Quickie 500 models of more then 1.8 kg mass. 
Needs perfect construction methods (machined moulds recommended). 
Turbulators at 82% chord on the upper side and at 84% chord on the lower side should be used for Reynolds numbers between 500'000 and 1'000'000. 
